message,label
normal	Sorry, I'll call later.
normal	Life is more strict than teacher... Because Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .
normal	Sorry battery died, yeah I'm here.
normal	PLEASE TELL ME, YOU WANT DONE SPORTSx
normal	Although i told you that i'm into big face watches now but i really like e watch you gave because it's from you. Thanks for everything that you have done today, i'm touched...
normal	Ups which is three days also, and the shipping company that takes two weeks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.
normal	I'm back, lemme know when you're ready.
normal	Not sure yet, still trying to get a hold of him.
normal	Come to me, we're sorting out our narcotics situation.
normal	Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay.
normal	Useful I guess, might as well take one car.
normal	Awesome, I'll see you in a bit.
normal	Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down
normal	ok, I might come by to night then if my class lets out early.
normal	Awesome, I remember the last time we got somebody high for the first time with diesel.
normal	Hi the way I was with you to day, is the normal way&this is the real me. you are unique&I hope I know you for the rest of mylife. Hope you find won't was lost.
normal	Not really dude, have no friends i'm afraid.
normal	Coffee cake, i guess.
normal	Merry Christmas to you too babe, i love ya *kisses*.
normal	Cool, text me when you're parked.
normal	I'm reading the text i just sent you, It's meant to be a joke. So read it in that light.
normal	Ta-Daaaaa! I am home babe, are you still up ?
normal	No can't help you there, I've never had an iphone.
normal	Hello! Just got here, st andrews-boy its a long way! Its cold. I will keep you posted.
normal	Good afternoon sunshine! How dawns that day ? Are we refreshed and happy to be alive? Do we breathe in the air and smile ? I think of you, my love ... As always
normal	Cool, text me when you're ready.
normal	Hello my boytoy. Geeee I miss you already and I just woke up. I wish you were here in bed with me, cuddling me. I love you ...
fraud	Thanks for your Ringtone Order, Reference T91. You will be charged GBP 4 per week. You can unsubscribe at anytime by calling customer services on 09057039994.
normal	I guess that's why you re worried. You must know that there's a way the body repairs itself. And i'm quite sure you shouldn't worry. We'll take it slow. First the tests, they will guide when your ovulation is then just relax. Nothing you've said is a reason to worry but i.ll keep on followin you up.
normal	Yeah sure, give me a couple minutes to track down my wallet.
fraud	Double mins and texts for six months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX
normal	You are always putting your business out there. You put pictures of your ass on facebook. You are one of the most open people i've ever met. Why would i think a picture of your room would hurt you, make you feel violated.
normal	Yep, the great loxahatchee xmas tree burning of  &lt;#&gt;  starts in an hour.
normal	Haha get used to driving to usefull man, I know a lot of stoners.
normal	Yes,from last week itself i'm taking live call.
normal	Ask g or iouri, I've told the story like ten times already.
normal	Hi hope you get this text~journey hasn't been good,now about 50 mins late I think.
"normal	""HEY HEY WE ARE THE MONKEES PEOPLE SAY WE MONKEYAROUND! HOWDY GORGEOUS"," HOWU DOIN? FOUNDURSELF A JOBYET SAUSAGE?LOVE JEN XXX"""
normal	LOOK AT AMY URE A BEAUTIFUL, INTELLIGENT WOMAN AND I LIKE YOU A LOT. I KNOW YOU DON'T LIKE ME LIKE THAT SO DON'T WORRY.
normal	Sorry, I'll call later ok bye.
normal	Yup, no need. I'll jus wait for e rain to stop.
normal	How long has it been since you screamed, princess?
normal	oK, can I pick up another 8th when you're done?
normal	Almost there, see you in a second.
fraud	FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com
normal	Sorry man my account's dry or I would, if you want we could trade back half or I could buy some shit with my credit card.
normal	Sorry,in meeting I'll call later
normal	Kate jackson rec center before seven wish, right?
normal	Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.
normal	at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try
normal	That's very rude, you on campus?
fraud	URGENT!: Your Mobile Number was awarded a £2,000 Bonus Caller Prize on 02/09/03! This is our second attempt to contact YOU! Call 0871-872-9755 BOX95QU
fraud	Today's Offer! Claim your £150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. £3.00 Sub. 16 . Unsub reply X
normal	I've not called you in a while. This is hoping it was later malaria and that you know that we miss you guys. I miss Bani big, so please give her my love especially. Have a great day.
normal	Probably gonna be here for a while, see you later tonight &lt;)
normal	I am in tirupur, once you started from office call me.
normal	Sorry that took so long, omw now
normal	Hurry up, I've been weed-deficient for like three days
normal	Sure, if I get an acknowledgement from you that it's astoundingly tactless and generally faggy to demand a blood oath fo
normal	Fuck babe ... I miss you already, you know ? Can't you let me send you some money towards your net ? I need you ... I want you ... I crave you ...
normal	I will call you tommarow at ninish, with my address that icky American freek won't stop callin me to bad Jen k eh?
normal	I'm tired of arguing with you about this week after week. Do what you want and from now on, i'll do the same.
fraud	our mobile number has won £5000, to claim calls us back or ring the claims hot line on 09050005321.
normal	Arraneged marriage is while you are walking unfortuntly a snake bites you. but love marriage is dancing in front of the snake &amp; sayin Bite me, bite me.
normal	I don't think i'll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den... 
normal	I'm in a meeting, call me later at
fraud	For your chance to win a £250 wkly shopping spree TEXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk
normal	I met you as a stranger and choose you as my friend. As long as the world stands, our friendship never ends. Lets be Friends forever!!! Good night...
normal	It's fine, imma get a drink or something. Want me to come find you?
normal	Nah it's straight, if you can just bring but or drinks or something that's actually a little more useful than straight cash.
normal	Haha good to hear, I'm officially paid and on the market for an 8th.
normal	Sweetheart, hope you are not having that kind of day! Have one with loads of reasons to smile. Biola
normal	What will we do in the shower, baby?
normal	Well i am definitely need to restock before thanksgiving, I'll let you know when I'm out
normal	Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about you?
normal	Wait, do you know if wesleys in town? I bet she does hella drugs!
normal	Sun can't come to earth but send l as rays. cloud can't come to river but send luv as rain. I can't come to meet you, but can send my care as message to you. Good evning.
normal	It doesn't make sense to take it there unless its free. If you need to know more, wikipedia.com
normal	Ditto. And you won't have to worry about me saying ANYTHING to you anymore. Like i said last night, you do whatever you want and i'll do the same. Peace.
normal	I've got  &lt;#&gt; , any way I could pick up?
normal	I don't know pa, i just drink milk.
normal	Piggy, are you awake? I bet you are still sleeping. I'm going for lunch now.
normal	Every King Was Once A Crying Baby And Every Great Building Was Once A Map.. Not Imprtant Where U r TODAY, BUT Where U Wil Reach TOMORW. Gud ni8
normal	Dear,Me at cherthala.in case you are coming cochin please call before you start.i shall also reach accordingly.or tell me which day you are coming.tommorow i am engaged ans its holiday.
normal	My sister in law, hope you are having a great month. Just saying hey. Abiola
normal	Aight, you close by or still down around alex's place?
normal	I don't think I can get away for a trek that long with family in town, sorry
fraud	Save yourself the stress. If the person has a dorm account, just send your account details and the money will be sent to you.
normal	Alright omw, gotta change my order to a half8th
normal	I promise to take good care of you, princess. I have to run now. Please send pics when you get a chance. Title!
normal	Call me when you/carlos is/are here, my phone's vibrate is acting up and I might not hear texts
normal	We are at grandmas. Oh dear, you still ill? I felt Shit this morning but i think i am just hungover! Another night then. We leave on sat.
normal	Sorry, I'll call later
normal	idc get over here, you are not weaseling your way out of this shit twice in a row
normal	Hmmm ... I thought we said 2 hours slave, not 3 ... You are late ... How should I punish you ?
normal	She was supposed to be but couldn't make it, she's still in town though
normal	sure, but make sure he knows we aim't smoking yet.
normal	He has lots of used ones babe, but the model doesn't help. You have to bring it over and he'll match it up.
normal	Sorry light turned green, I meant another friend wanted  &lt;#&gt;  worth but he may not be around
normal	Thank you so much. When we skyped with koz and sura, we didn't get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countinue down to aburo. Enjoy! This is the message i sent days ago.
normal	Sir, I have been late in paying rent for the past few months and had to pay a $ &lt;#&gt;  charge. I felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up. I however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. Can you please help. Thanks
normal	Please send me a comprehensive mail about who i'm paying, when and how much.
fraud	Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+ 
normal	ok, when are you going?
normal	I am real, baby! I want to bring out your inner tigress...
normal	Same here, but I consider walls and bunkers and shit important just because I never play on peaceful but I guess your place is high enough that it don't matter
normal	Well am officially in a philosophical hole, so if you wanna call am at home ready to be saved!
normal	I'm used to it. I just hope my agents don't drop me since i've only booked a few things this year. This whole me in boston, them in nyc was an experiment.
normal	I wonder if your phone battery went dead ? I had to tell you, I love you babe
normal	We're all getting worried over here, derek and taylor have already assumed the worst
normal	Call me, i am waiting for your call.
normal	oK, wait chikku will send after  &lt;#&gt; mins
fraud	Dear Matthew please call 09063440451 from a landline, your complimentary 4*Lux Tenerife holiday or £1000 CASH await collection.
normal	Awesome, lemme know whenever you're around.
normal	Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?
normal	It won't be until 2.15 as trying to sort house out, is that ok?
normal	Yar lor he want to go see horse racing today mah, so eat earlier lor. I ate chicken rice.
normal	Haha awesome, omw back now then
normal	Up to you, you want come then come lor... But i did not see any stripes skirt...
normal	I can't, I don't have her number!
normal	Aight will do, thanks again for comin out
normal	I just got home babe, are you still awake ?
normal	Ya, told..she was asking whats matter?
normal	Dear,regret i could not pick call.drove down from ctla now at cochin home.left mobile in car..ente style ishtamayoo?happy bakrid!
normal	Lol you forgot it eh ? Yes, I'll bring it in babe
normal	Its good, we'll find a way
normal	OH MR SHEFFIELD! You wanna play THAT game, okay. You're the boss and I'm the nanny. You give me a raise and I'll give YOU one!!
normal	Hello baby, did you get back to your mom's ? Are you setting up the computer now ? Filling your belly ? How goes it loverboy ? I miss you already ... *sighs*
normal	No my blankets are sufficient, thanks
normal	Edison has rightly said," ""A fool can ask more questions than a wise man can answer"" Now you know why all of us are speechless during ViVa."
normal	Come round, it's . 
fraud	1000's flirting NOW! Txt GIRL or BLOKE & ur NAME & AGE, eg GIRL ZOE 18 to 8007 to join and get chatting!
normal	I got another job! The one at the hospital doing data analysis or something, starts on monday! Not sure when my thesis will got finished
normal	That's fine, I will bitch at you about it later then
normal	alright, I'll make sure the car is back tonight
normal	Yep, by the pretty sculpture
normal	Well the weather in cali's great. But its complexities are great. You need a car to move freely, its taxes are outrageous. But all in all its a great place. The sad part is i missing home.
normal	Good afternoon, my love. How goes your day ? What are you up to ? I woke early and am online waiting for you ... Hmmm ... Italian boy is online I see . *grins*
normal	Awesome, think we can get an 8th at usefull some time tonight?
normal	No I'm good for the movie, is it ok if I leave in an hourish?
"normal	Height of ""Oh shit....!!"" situation: A guy throws a luv letter on a gal but falls on her brothers head whos a gay",
normal	So check your errors and if you had difficulties, do correction.
normal	Sorry, I'll call later
normal	As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me for lunch. After lunch she invited me to her apartment. We went there.
fraud	Thank you, winner notified by sms. Good Luck! No future marketing reply STOP to 84122 customer services 08450542832
normal	Sorry, I'll call later
normal	Sorry man, accidentally left my phone on silent last night and didn't check it till I got up
normal	Haha yeah I see that now, be there in a second
normal	Yeah, we can probably swing by once my roommate finishes up with his girl
normal	I'm outside islands, head towards hard rock and you'll run into me
normal	oK give me a second, breaking a  &lt;#&gt;  at cstore
normal	Yo, you around? Just got my car back
normal	Goodmorning, Today i am late for  &lt;#&gt; min.
normal	Al he does is moan at me if n e thin goes wrong its my fault&al de arguments r my fault&fed up of him of himso y bother? Hav 2go, thanx.xx
normal	Me also da, i feel yesterday night  wait til 2day night dear.
normal	Yo, the game almost over? Want to go to walmart soon
normal	Damn, can you make it tonight or do you want to just wait til tomorrow
normal	True. It is passable. And if you get a high score and apply for phd, you get 5years of salary. So it makes life easier.
normal	sir, you will receive the account no another 1hr time. Sorry for the delay.
normal	Dear relieved of westonzoyland, all going to plan this end too!
normal	I want to show you the world, princess :) how about europe?
normal	I do know what u mean,  is the king of not havin credit! I'm goin2bed now. Night night sweet! Only1more sleep! 
normal	Not yet chikku..going to room nw, i'm in bus..
normal	We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us
normal	Yo, I'm at my parents' gettin cash. Good news: we picked up a downstem
normal	Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy!
normal	Im in inperialmusic listening2the weirdest track ever byleafcutter john-sounds like insects being molested&someone plumbing,remixed by evil men on acid!
"normal	""Hey sorry I didntgive ya a a bellearlier hunny","just been in bedbut mite go 2 thepub l8tr if uwana mt up?loads a luv Jenxxx."""
normal	Tee hee. Off to lecture, cheery bye bye.
normal	Sorry chikku, my cell got some problem thts y i was nt able to reply u or msg u..
normal	Just wondering, the others just took off
normal	Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng
normal	What do you do, my dog ? Must I always wait till the end of your day to have word from you ? Did you run out of time on your cell already?
normal	Hey...Great deal...Farm tour 9am to 5pm $95/pax, $50 deposit by 16 May
normal	Hey babe! I saw you came online for a second and then you disappeared, what happened ?
normal	K so am I, how much for an 8th? Fifty?
normal	FRAN I DECIDED 2 GO N E WAY IM COMPLETELY BROKE AN KNACKERED I GOT UP BOUT 3 C U 2MRW LOVE JANX P.S THIS IS MY DADS FONE, -NO CREDIT
normal	Ok, be careful ! Don't text and drive !
normal	I.ll always be there, even if its just in spirit. I.ll get a bb soon. Just trying to be sure i need it.
normal	Just sent again. Do you scream and moan in bed, princess?
normal	I wake up long ago already... Dunno, what other thing?
normal	Aight no rush, I'll ask jay
normal	Nothing much, chillin at home. Any super bowl plan?
normal	Goodnight, sleep well da please take care pa. Please.
normal	Yetunde, i'm sorry but moji and i seem too busy to be able to go shopping. Can you just please find some other way to get what you wanted us to get. Please forgive me. You can reply free via yahoo messenger.
fraud	HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k
normal	1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)
fraud	500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION
normal	Ya tel, wats ur problem..
normal	Haha just kidding, papa needs drugs
normal	No, I decided that only people who care about stuff vote and caring about stuff is for losers
normal	I've got ten bucks, jay is being noncomittal
normal	I jus hope its true that  missin me cos i'm really missin him! You haven't done anything to feel guilty about, yet.
normal	Arms fine, how's Cardiff and uni? 
normal	Its ok., i just asked did u know that no?
normal	That's good, because I need drugs
normal	Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.
normal	Yalru lyfu astne chikku.. Bt innu mundhe lyf ali halla ke bilo (marriage)program edhae, so lyf is nt yet ovr chikku..ali vargu lyfu meow meow:-D
fraud	09066362231 URGENT! Your mobile No 07xxxxxxxxx won a £2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP!
fraud	YOU 07801543489 are guaranteed the latests Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word:COLLECT to No:83355! TC-LLC NY-USA 150p/Mt msgrcvd18+
normal	Just sent you an email – to an address with incomm in it, is that right?
normal	Will do, you gonna be at blake's all night? I might be able to get out of here a little early
normal	Nice. Wait...should you be texting right now? I'm not gonna pay your ticket, ya know!
normal	I'm a guy, browsin is compulsory
normal	Sorry, I'll call later
normal	(I should add that I don't really care and if you can't I can at least get this dude to fuck off but hey, your money if you want it)
normal	Hello lover! How goes that new job? Are you there now? Are you happy? Do you think of me? I wake, my slave and send you a teasing kiss from across the sea
normal	Cant believe i said so many things to you this morning when all i really wanted to say was good morning, i love you! Have a beautiful morning. See you in the library later.
fraud	Your account has been credited with 500 FREE Text Messages. To activate, just txt the word: CREDIT to No: 80488 T&Cs www.80488.biz
normal	Time n Smile r the two crucial things in our life. Sometimes time makes us to forget smile, and sometimes someone's smile makes us to forget time gud noon
fraud	SMS. ac JSco: Energy is high, but u may not know where 2channel it. 2day ur leadership skills r strong. Psychic? Reply ANS w/question. End? Reply END JSCO
fraud	HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call
normal	Pete,is this your phone still? Its Jenny from college and Leanne.what are you up to now?:)
fraud	URGENT! Your Mobile No was awarded a £2,000 Bonus Caller Prize on 1/08/03! This is our 2nd attempt to contact YOU! Call 0871-4719-523 BOX95QU BT National Rate
normal	I’ve been thinking about it for a while, but haven’t concretized anything so far.
normal	What have you been thinking, if you can share?
normal	Well, I’ve been thinking of switching to an industry that has at least few decades of growth left.
normal	Bottled water, please.
normal	Here is your water, sir. And here is the menu.
normal	No sir, we don’t have ‘special of the day’ here.
normal	Don’t be upset. I think the book is based on our practical knowledge. It supports us to be creative. You know most of the students of our country like to cram and it’s so much harmful for them but they do not realize it. To avoid their cramming, the govt. has introduced the process. 
normal	Yeah, I see. How can I continue my study?
normal	One more clarification sir, Shall I ask you? 
normal	All right, pack this one.
normal	Yes, cancer. Smoking causes many other diseases. It also affects our lunge.
normal	It’s a false notion. People hate smokers. Besides, smoking the beginning of drug addiction.
normal	Hello, I guess you are a new comer.
normal	Of course I can. Actually, I was planning to import some vehicle products from India.
normal	Yes, I am so excited. I can’t wait 7 days for Durga Puja. I am sure this year; will be so much fun.
normal	Yeah, I think so. So have you done your shopping for the Pooja?
normal	Almost done, I just need to buy some clothes for my parents. I have got my own two days ago. What about you?
normal	Yes, because we need to buy a lot more things for the celebration. I loved the shopping and I am sure you will love too.
normal	Not actually, I am going to spend this Puja with my family here in Kolkata. I am sure that will be so much fun. You are invited to my house in the Puja. I hope you will come.
normal	Okay, see you there. Bye.
normal	Yeah, sure!
normal	Oh, No! There would be an open discussion post-presentation where you can discuss other things as well.
normal	Now, that sounds music to my ears.
normal	Let’s go to some adventure place. Where we can do paragliding, sky diving and lot more.
normal	Just because I am connected through wifi, the speed cannot reduce by such an extent.
normal	What is this nonsense ? How can my laptop cause such a reduction in the speed ? I am a computer science engineer, and you can't tell such silly reasons to me. What is this ?
normal	What ? No, they do it from a local server in India.
normal	That is absurd, they have a good reputation and show the results as they are.
normal	Ok I understand that you cannot give exactly 512kbps speed, but it'll be somewhere close to it. And why are you talking about submarines and insulation and all ?
normal	Hello, may I speak to Mr. Adams?
normal	Yes, madam.
normal	I know it's smaller than you wanted, but it's one of the best houses in this locality.
normal	These are here, sir.
normal	It's six thousand taka only, sir.
normal	Well, does the set have all the multimedia features?
normal	You may take it without any worry. Even if any problem, please contact us. Here is our visiting card.
normal	Yes, it is available. 
normal	I am the principal of your school. I have sent you a link, click on it. And pay fee.177. Will you go for a walk with me?
normal	Are you saying Mr. Ramesh, you have checked your message box whether you have received a coupon of ₹ 500000.
normal	I see. Well, I’d be delighted to have you over and join the gathering.
normal	I was thinking of going to the cinema with you. There’s a good movie to watch, but if you’re not available …
normal	Oh … I have a family gathering in the evening. Why, what did you have in mind?
normal	You’re pulling my leg! They’re just friends, Lucy.
normal	They’re a couple, Patrick. You can ask Ted yourself if you don’t trust me.
normal	Well, I don’t think it is polite to ask people about their sexual orientation.
normal	You’re too busy studying, you never have time to see them.
normal	What do you think of gay marriage, Lucy?
normal	Organic chemistry has been a problem for me too. Can we study chemistry together, at least the organic part?
normal	The paper was long, wasn’t it?
normal	So. So. I wish I had timed myself better. In the end, I left questions worth 10 marks unattempted. How about you?
normal	So, did you too fail to complete the paper?
normal	I did somehow manage to complete, but in the last 20-odd minutes I had to hurry so much that I guess I made quite a few mistakes. Which parts in the paper did you find particularly challenging?
normal	I was thinking of going to the cinema with you. There’s a good movie to watch, but if you’re not available …
normal	Ok, yes you will be very busy.
normal	Why not asking Andrew to go with you? You live in the same apartment with him, don’t you?
normal	I see. Well, I’d be delighted to have you over and join the gathering.
normal	What a great idea, thank you. When should I be there?
normal	Yes, that’s perfect. Can I get it made right away?
normal	We do follow all policies, sir. I have already asked two passengers to stop smoking. They are the people who belong to villages or they are illiterate and hence cannot read the signs saying 'No smoking'
normal	Have a nice Journey, Sir.
normal	Yes, I want to buy some books.
normal	Ok, Let me see.
normal	Hello! Actually, I gave a call regarding the network issues.
normal	Sir, I would like to tell you that your issues will be resolved. Could I please know which handset you are using?
normal	Sir, would you like to know about the new offers?
normal	No, thank you.
normal	Yes, it is under warranty. Can it be fixed without extra cost?
normal	No Sir, you can take the back up for all your data. And if you have already done that then there is no need to fret.
normal	Hi, do you have this processor: Intel i7 10700K?
normal	A small discount would make the deal a little better. Can you do INR 27,000?
normal	Oh, is it? How much is the price for that motherboard?
normal	Thank you for your purchase, sir. Please do come back if you need any other components or software. Have a good day.
normal	Sure, go ahead.
normal	Sir, your college has made an excellent result in the last HSC Exam. I want to talk to you about the result.
normal	Sir, how has your college made such a glorious result this year?
normal	To speak the truth, continuous efforts of our teachers and the system of our teaching have helped us to make this result.
normal	Anything else, sir?
normal	It’s very good, sir. Most of the students of your college have obtained GPA-5 and your college has secured the 6th position in Rajshahi Board. Isn’t it exceptional?
normal	That’s very appreciable. We hope your college will continue doing such glorious result in future. Thank you for giving me some of your valuable time, sir.
normal	No, as he was wearing a cap so I couldn’t see his face because half of his face was covered with the cap.
normal	Yes, we totally agree. We all are really excited to see the trailers of your upcoming movie.
normal	Me, i dont know again oh
"normal	Single line with a big meaning::::: ""Miss anything 4 ur ""Best Life"" but", don't miss ur best life for anything... Gud nyt...
normal	Just got some gas money, any chance you and the gang want to go on a grand nature adventure?
normal	The  &lt;#&gt; g that i saw a few days ago, the guy wants sell wifi only for  &lt;#&gt;  and with 3g for  &lt;#&gt; . That's why i blanked him.
normal	whatever, im pretty pissed off.
normal	Sounds gd... Haha... Can... Wah, u yan jiu so fast liao...
normal	Remember all those whom i hurt during days of satanic imposter in me.need to pay a price,so be it.may destiny keep me going and as u said pray that i get the mind to get over the same.
normal	Why is that, princess? I bet the brothas are all chasing you!
normal	I shall book chez jules for half eight, if that's ok with you?
normal	Sorry, I'll call later
normal	Somewhr someone is surely made 4 u. And God has decided a perfect time to make u meet dat person. . . . till den, . . . . . Enjoy ur crushes..!!!;-)
normal	Yeah probably, I still gotta check out with leo
normal	Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, being 'SIMPLE' is very difficult.. Gud nte.:-
fraud	You have been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday Worth £350! To Claim, 
normal	You have come into my life and brought the sun ..Shiny down on me, warming my heart. Putting a constant smile on my face ... Making me feel loved and cared for
normal	Evening * v good if somewhat event laden. Will fill you in, don't you worry … Head * ok but throat * wrecked. See you at six then!
normal	Yeah, where's your class at?
normal	You aren't coming home between class, right? I need to work out and shower!
normal	Yes..but they said its IT.,
"normal	Very hurting n meaningful lines ever: ""I compromised everything for my love"," But at d end my love compromised me for everything:-("".. Gud mornin:-)"
"normal	Painful words- ""I thought being Happy was the most toughest thing on Earth... But"," the toughest is acting Happy with all unspoken pain inside.."""
normal	So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas
normal	Sorry man, my stash ran dry last night and I can't pick up more until sunday
fraud	Free msg. Sorry, a service you ordered from 81303 could not be delivered as you do not have sufficient credit. Please top up to receive the service.
normal	How's my loverboy doing ? What does he do that keeps him from coming to his Queen, hmmm ? Doesn't he ache to speak to me ? Miss me desparately ?
normal	(No promises on when though, haven't even gotten dinner yet)
normal	Sorry about earlier. Putting out fires.Are you around to talk after 9? Or do you actually have a life, lol!
normal	Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.
normal	K, can that happen tonight?
fraud	Hi, this is Mandy Sullivan calling from HOTMIX FM...you are chosen to receive £5000.00 in our Easter Prize draw.....Please telephone 09041940223 to claim before 29/03/05 or your prize will be transferred to someone else....
normal	I think we're going to finn's now, come
normal	Im cool ta luv but v.tired 2 cause i have been doin loads of planning all wk, we have got our social services inspection at the nursery! Take care & spk sn x.
normal	K, want us to come by now?
normal	Good afternoon sexy buns! How goes the job search ? I wake and you are my first thought as always, my love. I wish your fine and happy and know I adore you!
normal	I'm not coming over, do whatever you want
normal	Its ok chikku, and its my 1 of favourite song..:-)
